City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Hammerfest,NO,2022-07-05 18:46:33,70.6634,23.6821,63.05,72,40,12.66
179,Kaduqli,SD,2022-07-05 18:46:34,11.0167,29.7167,80.74,61,79,3.31
180,Pakhtakoron,TJ,2022-07-05 18:46:34,40.1571,68.7466,71.64,36,0,2.86
181,Sebaco,NI,2022-07-05 18:46:34,12.8532,-86.0963,80.91,74,99,7.49
182,Candido De Abreu,BR,2022-07-05 18:46:35,-24.5669,-51.3333,74.34,53,79,3.02
183,Biltine,TD,2022-07-05 18:46:35,14.5333,20.9167,84.0,48,82,20.92
184,Nouadhibou,MR,2022-07-05 18:47:35,20.931,-17.0347,73.38,73,6,19.57
185,Haradok,BY,2022-07-05 18:47:36,55.4624,29.9816,71.71,70,100,5.95
186,Idanre,NG,2022-07-05 18:47:36,7.1127,5.1159,70.83,98,62,2.39
187,Zhob,PK,2022-07-05 18:44:30,31.3411,69.4481,85.06,51,90,4.52
188,Marzuq,YE,2022-07-05 18:47:36,14.4,46.4667,83.62,17,32,4.81
189,Acarau,BR,2022-07-05 18:47:36,-2.8856,-40.12,80.47,68,100,13.0
190,Yenagoa,NG,2022-07-05 18:47:37,4.9247,6.2642,74.59,96,99,2.95
191,Pisco,PE,2022-07-05 18:47:37,-13.7,-76.2167,66.02,77,20,10.36
192,Sur,OM,2022-07-05 18:47:37,22.5667,59.5289,86.04,78,100,4.05
193,Mehamn,NO,2022-07-05 18:47:38,71.0357,27.8492,58.95,88,100,4.61
194,Murgab,TM,2022-07-05 18:47:38,37.4966,61.9714,80.47,32,0,6.91
195,Nanuque,BR,2022-07-05 18:47:38,-17.8392,-40.3539,76.91,62,87,8.9
196,Eirunepe,BR,2022-07-05 18:47:38,-6.6603,-69.8736,90.37,48,56,2.68
197,Saint-Pierre,RE,2022-07-05 18:47:39,-21.3393,55.4781,67.68,73,0,8.05
198,Itaituba,BR,2022-07-05 18:47:39,-4.2761,-55.9836,93.36,52,20,5.75
199,Bolshoye Selo,RU,2022-07-05 18:47:39,57.7177,38.9334,61.75,96,100,6.42
200,Gambo,CF,2022-07-05 18:47:40,4.6482,22.2633,70.66,92,6,2.35
201,Garowe,SO,2022-07-05 18:47:40,8.4054,48.4845,84.74,38,54,24.52
202,Gat,IL,2022-07-05 18:47:40,31.61,34.7642,80.82,100,0,3.62
203,Ballina,AU,2022-07-05 18:47:40,-28.8667,153.5667,57.02,99,100,7.72
204,Sorland,NO,2022-07-05 18:47:41,67.667,12.6934,53.46,82,100,18.92
205,San-Pedro,CI,2022-07-05 18:47:41,4.7485,-6.6363,77.09,81,64,8.37
206,Hobyo,SO,2022-07-05 18:47:41,5.3505,48.5268,76.35,83,31,29.77
207,Kokstad,ZA,2022-07-05 18:47:41,-30.5472,29.4241,50.83,50,3,4.14
208,Sao Joao Da Barra,BR,2022-07-05 18:47:42,-21.6403,-41.0511,80.69,69,0,16.78
209,Najran,SA,2022-07-05 18:44:55,17.4924,44.1277,92.05,38,90,9.4
210,Togur,RU,2022-07-05 18:47:42,58.3631,82.8265,61.57,76,79,9.86
211,Juiz De Fora,BR,2022-07-05 18:46:27,-21.7642,-43.3503,79.02,41,0,3.0
212,Ratnagiri,IN,2022-07-05 18:46:02,16.9833,73.3,80.69,86,100,18.25
213,Bequimao,BR,2022-07-05 18:47:42,-2.4489,-44.7825,82.49,72,65,3.6
214,Makushino,RU,2022-07-05 18:47:43,55.2103,67.2442,52.97,88,100,12.01
215,Sabha,LY,2022-07-05 18:47:43,27.0377,14.4283,88.79,22,0,13.35
216,Chitral,PK,2022-07-05 18:44:21,35.8462,71.7858,79.02,76,100,5.7
217,Clonakilty,IE,2022-07-05 18:47:43,51.6231,-8.8706,66.09,80,100,10.65
218,Plettenberg Bay,ZA,2022-07-05 18:47:44,-34.0527,23.3716,57.42,85,100,5.21
219,Buraydah,SA,2022-07-05 18:47:44,26.326,43.975,95.45,15,0,10.6
220,Varhaug,NO,2022-07-05 18:47:44,58.6147,5.6457,56.79,73,33,24.16
221,Nantucket,US,2022-07-05 18:47:45,41.2835,-70.0995,75.34,80,40,14.97
222,Karasburg,NA,2022-07-05 18:47:45,-28.0167,18.75,48.18,56,0,7.92
223,Mitsamiouli,KM,2022-07-05 18:47:45,-11.3847,43.2844,77.29,69,20,4.61
224,Salinopolis,BR,2022-07-05 18:47:45,-0.6136,-47.3561,80.64,81,21,11.7
225,Strangnas,SE,2022-07-05 18:47:46,59.3774,17.0312,65.07,63,70,11.59
226,Boden,SE,2022-07-05 18:47:46,65.8252,21.6886,62.6,89,78,6.76
227,Gazanjyk,TM,2022-07-05 18:47:46,39.2446,55.5154,77.25,33,0,7.27
228,Kilinochchi,LK,2022-07-05 18:47:46,9.3961,80.3982,81.12,76,100,10.0
229,Saint-Augustin,CA,2022-07-05 18:47:47,51.226,-58.6502,65.46,37,100,17.07
230,Geraldton,AU,2022-07-05 18:47:47,-28.7667,114.6,55.81,94,75,9.22
231,Pleshanovo,RU,2022-07-05 18:47:47,52.8333,53.4833,52.16,88,100,7.14
232,Goderich,CA,2022-07-05 18:43:36,43.7501,-81.7165,71.91,88,77,9.22
233,Tselinnoye,RU,2022-07-05 18:48:48,53.0833,85.6667,56.73,94,100,6.71
234,Shelburne,CA,2022-07-05 18:48:48,44.0787,-80.2041,70.75,98,100,10.96
235,Ponta Delgada,PT,2022-07-05 18:46:43,37.7333,-25.6667,73.51,77,40,11.5
236,Arys,KZ,2022-07-05 18:48:48,42.4252,68.795,74.48,28,0,7.72
237,Puerto Madryn,AR,2022-07-05 18:48:15,-42.7692,-65.0385,56.28,32,0,27.45
238,Madimba,TZ,2022-07-05 18:48:49,-10.4,40.3333,72.72,78,20,11.5
239,Nokha,IN,2022-07-05 18:48:49,27.6,73.4167,93.04,56,64,5.57
